FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,11,U,1,0,0,35,0
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,11,U,29,0,297,74,275
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,33,KG,0,14,0,15,0
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,8,11,U,2,0,55,0,55
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,8,11,U,1,0,15,0,15
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,8,11,U,5,0,60,0,60
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,5,11,U,145,0,151,0,135
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,11,U,2,0,232,51,215
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,11,U,101,0,460,21,425
2311,3,23,DEU,3,BOG,11,5,245,4,201,2,8,2,11,11,U,16,0,1133,0,758
2311,3,23,DEU,3,BOG,11,7,827,1,198,1,6,1,11,11,U,24320,0,985,0,830
2311,3,23,DEU,3,BOG,11,7,827,1,198,1,8,1,11,11,U,3231,0,128,99,125
2311,3,23,DEU,3,BOG,11,8,618,1,198,1,6,1,11,11,U,58360,0,2296,0,1981
2311,3,23,DEU,3,BOG,11,8,618,1,198,1,6,1,11,11,U,1,0,514,0,300
2311,3,23,DEU,3,BOG,11,8,618,1,198,1,6,2,11,11,U,10530,0,361,65,329
2311,3,23,DEU,3,BOG,11,8,618,1,198,1,6,2,11,11,U,79320,0,2931,33,2454
2311,3,23,DEU,3,BOG,11,8,618,1,198,1,8,1,11,11,U,2050,0,87,79,81
2311,3,23,DEU,3,BOG,11,8,618,1,198,1,8,1,11,11,U,11100,0,364,19,336
2311,3,23,DEU,3,BOG,11,8,618,1,198,1,8,2,11,11,U,2250,0,212,0,195
2311,3,23,DEU,3,BOG,11,8,618,1,104,2,6,2,11,11,U,1,0,475,0,300
2311,3,23,DEU,3,BOG,11,9,149,1,198,1,8,1,11,11,U,510,0,8,0,7
2311,3,23,DEU,3,BOG,11,9,149,1,198,1,8,1,11,33,KG,978,12,1143,0,978
2311,3,23,DEU,3,BOG,11,9,149,1,198,1,8,2,11,33,KG,300,0,338,0,300
2311,3,23,DEU,3,BOG,11,9,149,4,201,2,8,2,11,11,U,3,0,2,83,2
2311,3,23,DEU,3,BOG,11,9,149,4,201,2,8,2,11,11,U,11,0,14,16,10
2311,3,23,DEU,3,BOG,11,9,169,1,198,1,8,2,27,33,KG,1,0,1,0,1
2311,3,23,DEU,3,BOG,11,9,249,1,104,2,8,2,11,11,U,1,0,15,0,13
2311,3,23,DEU,3,BOG,15,3,573,1,198,1,8,2,15,33,KG,1056,0,1338,21,1056
2311,3,23,DEU,3,BOG,15,3,573,1,198,1,8,2,15,33,KG,1836,0,2441,78,1836
2311,3,23,DEU,3,BOG,15,5,275,1,198,1,8,2,15,33,KG,200,0,271,62,200
2311,3,23,DEU,3,BOG,15,5,275,1,198,1,8,2,15,33,KG,1224,0,1662,37,1224
2311,3,23,DEU,3,BOG,15,9,249,1,198,1,8,2,15,33,KG,12,0,13,71,12
2311,3,23,DEU,3,BOG,15,9,249,1,198,1,8,2,15,33,KG,2139,0,2422,33,2139
2311,3,23,DEU,3,BOG,15,9,249,1,198,1,8,2,15,33,KG,597,0,689,90,597
2311,3,23,DEU,3,BOG,15,9,249,1,198,1,8,2,15,33,KG,16172,0,19040,96,16172
2311,3,23,DEU,3,BOG,25,3,23,1,198,1,8,1,25,11,U,6400,0,217,0,208
2311,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,9,0,10,52,9
2311,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,48,0,56,15,48
2311,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,12,50,15,63,12
2311,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,280,0,337,27,280
2311,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,118,0,143,55,118
2311,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,25,0,29,24,25
2311,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,33,80,39,53,33
2311,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,262,50,315,17,262
2311,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,144,60,178,87,144
2311,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,59,0,185,0,59
2311,3,23,DEU,3,BOG,25,3,253,1,198,1,8,1,25,11,U,400,0,19,0,16
2311,3,23,DEU,3,BOG,25,3,573,1,198,1,8,1,25,11,U,10440,0,391,11,352
2311,3,23,DEU,3,BOG,25,3,573,1,198,1,8,1,25,11,U,91440,0,3249,88,3005
2311,3,23,DEU,3,BOG,25,3,573,1,198,1,8,2,25,33,KG,559,0,648,0,559
2311,3,23,DEU,3,BOG,25,5,245,1,198,1,5,1,25,11,U,2720,0,92,95,40
2311,3,23,DEU,3,BOG,25,5,245,1,198,1,5,1,25,11,U,4420,0,151,4,65
2311,3,23,DEU,3,BOG,25,5,245,1,198,1,8,1,25,11,U,5780,0,198,91,194
2311,3,23,DEU,3,BOG,25,5,245,1,198,1,8,1,25,11,U,9520,0,327,8,319
2311,3,23,DEU,3,BOG,25,7,827,1,198,1,8,1,25,11,U,4760,0,243,0,240
2311,3,23,DEU,3,BOG,25,8,618,1,198,1,8,1,25,11,U,11970,0,347,91,313
2311,3,23,DEU,3,BOG,25,8,618,1,198,1,8,1,25,11,U,58440,0,2233,8,2009
2311,3,23,DEU,3,BOG,25,8,618,1,198,1,8,1,25,11,U,8160,0,570,0,514
2311,3,23,DEU,3,BOG,25,9,169,4,201,2,8,2,11,11,U,4,0,42,0,39
2311,3,23,DEU,3,BOG,25,9,249,1,198,1,8,2,25,33,KG,1820,0,2049,0,1820
2311,3,23,DEU,3,BOG,25,9,249,1,198,2,8,2,25,11,U,1280,0,5,0,4
2311,3,23,DEU,3,BOG,50,3,23,1,199,1,8,2,50,11,U,16070,0,480,0,445
2311,3,23,DEU,3,BOG,50,9,249,1,198,1,8,2,50,11,U,8050,0,298,0,280
2311,3,23,DEU,3,BOG,68,3,23,1,198,1,8,2,68,67,M3,3333,54,2956739,53,2687945
2311,3,23,DEU,3,BOG,76,5,245,1,198,1,8,1,76,33,KG,435,17,565,0,435
2311,3,23,DEU,3,BOG,76,9,169,1,198,1,8,1,76,11,U,2261524,0,1919,95,1521
2311,3,23,DEU,3,BOG,76,9,249,1,198,1,8,1,76,11,U,107804,0,51,24,39
2311,3,26,ARM,3,BOG,5,9,169,1,198,1,6,2,5,11,U,50,0,10,0,9
2311,3,26,ARM,3,BOG,5,9,169,1,198,1,8,2,5,11,U,100,0,8,66,7
2311,3,26,ARM,3,BOG,5,9,169,1,198,1,8,2,5,11,U,70,0,6,7,5
2311,3,26,ARM,3,BOG,5,9,169,1,198,1,8,2,5,11,U,60,0,5,22,4
2311,3,26,ARM,3,BOG,5,9,169,1,198,1,8,2,5,33,KG,11,73,13,3,11
2311,3,26,ARM,3,BOG,11,3,253,1,198,1,8,2,11,11,U,400,0,13,0,12
2311,3,26,ARM,3,BOG,11,3,573,1,198,1,8,2,11,11,U,8640,0,597,0,543
2311,3,26,ARM,3,BOG,11,8,618,1,198,1,8,1,11,11,U,400,0,11,87,10
2311,3,26,ARM,3,BOG,11,8,618,1,198,1,8,1,11,11,U,1800,0,62,12,54
2311,3,26,ARM,3,BOG,11,8,618,1,198,1,8,2,11,11,U,560,0,344,78,306
2311,3,26,ARM,3,BOG,11,8,618,1,198,1,8,2,11,11,U,60,0,55,21,49
2311,3,26,ARM,3,BOG,11,9,169,1,198,1,8,2,11,11,U,970,0,34,1,31
2311,3,26,ARM,3,BOG,11,9,169,1,198,1,8,2,11,11,U,38505,0,1097,93,1000
2311,3,26,ARM,3,BOG,11,9,169,1,198,1,8,2,11,11,U,400,0,30,4,27
2311,3,26,ARM,3,BOG,25,3,253,1,198,1,8,1,25,11,U,2900,0,96,0,40
2311,3,26,ARM,3,BOG,25,3,253,1,198,1,8,1,25,11,U,3950,0,132,0,55
2311,3,26,ARM,3,BOG,25,3,253,1,198,1,8,1,25,11,U,200,0,9,0,8
2311,3,26,ARM,3,BOG,25,3,253,1,198,1,8,2,25,11,U,800,0,30,0,8
2311,3,26,ARM,3,BOG,25,8,618,1,198,1,8,1,25,11,U,1050,0,39,44,38
2311,3,26,ARM,3,BOG,25,8,618,1,198,1,8,1,25,11,U,2100,0,69,55,67
2311,3,26,ARM,3,BOG,25,9,169,1,198,2,8,2,25,11,U,76,0,6,0,5
2311,3,27,ABW,3,BOG,5,9,169,1,198,1,8,2,5,11,U,1,0,0,18,0
2311,3,27,ABW,3,BOG,5,9,169,1,198,1,8,2,5,11,U,4,0,0,70,0
2311,3,27,ABW,3,BOG,5,9,169,1,198,1,8,2,5,11,U,240,0,42,23,42
2311,3,27,ABW,3,BOG,5,9,169,1,198,1,8,2,5,11,U,9,0,1,58,1
2311,3,27,ABW,3,BOG,5,9,169,1,198,1,8,2,5,11,U,3,0,0,53,0
2311,3,27,ABW,3,BOG,5,9,169,1,198,1,8,2,5,11,U,2,0,0,35,0
2311,3,27,ABW,3,BOG,5,9,169,1,198,1,8,2,5,11,U,9,0,1,58,1
2311,3,27,ABW,3,BOG,5,9,169,1,198,1,8,2,5,11,U,3,0,0,53,0
2311,3,27,ABW,3,BOG,5,9,169,1,198,1,8,2,5,11,U,33,0,5,81,5
2311,3,27,ABW,3,BOG,5,9,169,1,198,1,8,2,5,11,U,25,0,4,40,4
2311,3,27,ABW,3,BOG,5,9,169,1,198,1,8,2,5,11,U,15,0,2,64,2
2311,3,27,ABW,3,BOG,5,9,169,1,198,1,8,2,5,11,U,1,0,0,17,0
2311,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,11,11,U,2842,0,123,10,118
2311,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,11,11,U,2639,0,143,96,138
2311,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,11,11,U,1734,0,95,97,92
2311,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,11,33,KG,184,0,191,95,184
2311,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,11,11,U,1500,0,166,0,157
2311,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,8,11,U,2,0,53,69,53
2311,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,8,11,U,1,0,23,30,23
2311,3,27,ABW,3,BOG,11,0,580,1,199,1,8,2,44,33,KG,600,0,665,0,600
2311,3,27,ABW,3,BOG,11,0,580,1,199,1,8,2,11,33,KG,72,78,91,65,72
2311,3,27,ABW,3,BOG,11,0,580,1,199,1,8,2,11,33,KG,106,13,133,65,106
2311,3,27,ABW,3,BOG,11,0,580,1,199,1,8,2,11,33,KG,157,68,198,56,157
2311,3,27,ABW,3,BOG,11,0,580,1,199,1,8,2,11,33,KG,204,90,258,3,204
2311,3,27,ABW,3,BOG,11,0,580,1,199,1,8,2,25,33,KG,62,81,79,9,62
2311,3,27,ABW,3,BOG,11,9,169,1,2,2,8,2,11,33,KG,10,0,10,0,10
2311,3,27,ABW,3,BOG,11,9,239,1,198,1,8,2,11,11,U,9868,0,670,29,594
2311,3,27,ABW,3,BOG,11,9,239,1,198,1,8,2,11,11,U,219,0,24,82,22
2311,3,27,ABW,3,BOG,11,9,239,1,198,1,8,2,11,11,U,877,0,95,91,85
2311,3,27,ABW,3,BOG,11,9,239,1,198,1,8,2,11,11,U,1316,0,38,36,34
2311,3,27,ABW,3,BOG,11,9,239,1,198,1,8,2,11,11,U,657,0,42,88,38
2311,3,27,ABW,3,BOG,11,9,239,1,198,1,8,2,11,11,U,25655,0,837,25,742
2311,3,27,ABW,3,BOG,11,9,239,1,198,1,8,2,11,33,KG,112,0,126,38,112
2311,3,27,ABW,3,BOG,11,9,239,1,2,2,8,2,11,33,KG,9,60,9,60,9
2311,3,27,ABW,3,BOG,11,9,239,1,2,2,8,2,11,33,KG,8,50,8,50,8
2311,3,27,ABW,3,BOG,11,9,239,1,2,2,8,2,11,33,KG,25,90,25,90,25
2311,3,27,ABW,3,BOG,11,9,239,1,2,2,8,2,11,33,KG,9,60,9,60,9
2311,3,27,ABW,3,BOG,11,9,239,1,2,2,8,2,11,33,KG,4,80,4,80,4
2311,3,27,ABW,3,BOG,11,9,239,1,2,2,8,2,11,61,L,12,50,12,50,12
2311,3,27,ABW,3,BOG,11,9,239,1,2,2,8,2,11,61,L,11,50,11,50,11
2311,3,27,ABW,3,BOG,11,9,249,1,198,1,6,2,11,11,U,4325,0,139,70,130
2311,3,27,ABW,3,BOG,11,9,249,1,198,1,6,2,11,11,U,3280,0,335,28,312
2311,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,11,U,6160,0,443,44,375
2311,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,11,U,804,0,63,85,54
2311,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,11,U,268,0,8,27,7
2311,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,11,U,536,0,27,19,23
2311,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,11,U,7767,0,375,98,318
2311,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,33,KG,105,0,124,16,105
2311,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,11,U,1,0,197,0,120
2311,3,27,ABW,3,BOG,25,9,239,1,198,1,8,2,25,33,KG,90,0,96,48,90
2311,3,27,ABW,3,BOG,25,9,239,1,198,1,8,2,25,33,KG,75,0,80,41,75
2311,3,27,ABW,3,BOG,25,9,239,1,198,1,8,2,25,33,KG,252,0,270,6,252
2311,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,11,U,29600,0,820,83,728
2311,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,11,U,1160,0,23,97,16
2311,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,11,U,5700,0,151,32,136
2311,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,11,U,1280,0,54,26,36
2311,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,11,U,4850,0,51,67,44
2311,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,11,U,100,0,5,95,4
2311,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,11,U,2700,0,162,80,148
2311,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,11,U,255,0,47,95,32
2311,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,11,U,2584,0,153,63,116
2311,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,33,KG,212,0,262,32,212
2311,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,33,KG,30,0,31,94,30
2311,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,33,KG,25,0,26,61,25
2311,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,33,KG,84,0,89,43,84
2311,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,11,33,KG,62,50,77,22,62
2311,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,11,33,KG,2,5,2,52,2
2311,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,11,33,KG,67,45,83,33,67
2311,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,11,33,KG,7,50,9,26,7
2311,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,11,33,KG,1058,35,1307,61,1058
2311,3,27,ABW,3,BOG,25,9,249,1,199,1,8,2,25,33,KG,9,54,10,4,9
2311,3,27,ABW,3,BOG,25,9,249,1,199,1,8,2,25,33,KG,105,29,110,83,105
2311,3,27,ABW,3,BOG,25,9,249,1,199,1,8,2,25,33,KG,26,72,28,12,26
2311,3,27,ABW,3,BOG,68,7,27,1,198,1,8,2,68,67,M3,560,11,334893,14,334893
2311,3,29,BIH,3,BOG,11,8,618,1,198,1,8,2,11,11,U,800,0,28,0,26
2311,3,29,BIH,3,BOG,25,3,573,1,198,1,8,1,25,11,U,400,0,13,0,5
2311,3,29,BIH,3,BOG,25,8,618,1,198,1,8,1,25,11,U,800,0,32,0,10
2311,3,29,BIH,3,BOG,25,9,169,1,198,1,8,2,25,11,U,39910,0,2336,76,657
2311,3,29,BIH,3,BOG,25,9,169,1,198,1,8,2,25,11,U,11700,0,391,23,110
2311,3,41,AIA,3,BOG,68,1,41,1,198,1,8,2,68,67,M3,1,91,1242,50,1242
2311,3,43,ATG,3,BOG,11,9,249,1,198,1,8,2,11,11,U,2,0,0,67,0
2311,3,43,ATG,3,BOG,11,9,249,1,198,1,8,2,11,11,U,70,0,23,71,20
2311,3,43,ATG,3,BOG,11,9,249,1,198,1,8,2,11,11,U,232,0,78,57,67
2311,3,43,ATG,3,BOG,11,9,249,1,198,1,8,2,11,11,U,6,0,2,3,1
2311,3,43,ATG,3,BOG,11,9,249,1,198,1,8,2,11,11,U,6,0,2,3,1
2311,3,43,ATG,3,BOG,11,9,249,1,198,1,8,2,11,11,U,150,0,50,80,43
2311,3,43,ATG,3,BOG,25,9,249,1,198,1,8,2,25,11,U,20,0,10,77,10
2311,3,43,ATG,3,BOG,25,9,249,1,198,1,8,2,25,11,U,116,0,62,92,59
2311,3,43,ATG,3,BOG,25,9,249,1,198,1,8,2,25,11,U,158,0,85,34,81
2311,3,43,ATG,3,BOG,25,9,249,1,198,1,8,2,25,11,U,41,0,22,22,21
2311,3,43,ATG,3,BOG,25,9,249,1,198,1,8,2,25,11,U,142,0,76,50,72
2311,3,43,ATG,3,BOG,25,9,249,1,198,1,8,2,25,11,U,6,0,3,23,3
2311,3,53,SAU,3,BOG,5,3,253,1,198,1,8,2,5,11,U,4968,0,781,0,702
2311,3,53,SAU,3,BOG,5,8,618,1,198,1,6,2,5,11,U,1400,0,209,0,195
2311,3,53,SAU,3,BOG,5,8,618,1,198,1,8,2,5,11,U,4800,0,129,4,116
2311,3,53,SAU,3,BOG,5,8,618,1,198,1,8,2,5,11,U,26619,0,4255,70,3661
2311,3,53,SAU,3,BOG,5,8,618,1,198,1,8,2,5,33,KG,601,59,667,20,601
